Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
D11,2				D9,4																															R	
D16,1																																				
D18,1																																				
D3,1					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,3																											R					
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
				U8,1																														R		
				D8,3																																
				d9,3																															r	
D11,2				D9,3																															R	
D18,3																																				
D5,2		W																																		T5,10
D18,2					G2						A0																								A	t6,10
				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,1																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
D3,3				D9,1																															R	
D8,3																																				
D2,3											B0,5																								B0,2	
D3,3					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				U7,1																													R			
				D7,5																																
				d8,5																														r		
				D8,4																														R		
				d9,4																															r	
D14,3				D9,3																															R	
D3,1											A0																								A	
D18,2																																				
D14,1					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
D9,2				D9,4																															R	
D0,1											B0,0																								B0,2	
D2,2		T5,10																																		
D12,2					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
D14,3				D9,3																															R	
D6,1																																				
D5,1																																				
D10,1					G2																															
				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				D7,2																													R			
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
D1,2				D9,2																															R	
D0,2																																				
D15,3																																				
D18,3					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
D17,3				D9,4																															R	
D18,3																																				
D0,2																																				
D16,1					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				D8,5																														R		
				d9,5																															r	
D12,1				D9,5																															R	
D12,3																																				
D15,1																																				
D14,2					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
D3,3				W																																
D8,3																																				
D13,1																																				
D0,2				d9,4																															r	
D7,3				D9,4	G7																														R	
D15,3				P7	P																															
				d0,7																						r										
				D0,7																						R										
				d1,7																							r									
				D1,7																							R									
				d2,7																								r								
